Variant ID,Round ID,Source Video,Source Reel URL,Source Reel Caption,Source Reel Posted,Source Video Description,Date Posted,Time Posted,Day of Week,Phase,Test Variable,Variant Category,Normalized Hook Category,Exact Hook / Variant Wording,Modality,Country,Format Type,Video Length (sec),Is Original / Live Hook,Predicted Best Performing Hook,Human Prediction Rank,Prediction Confidence,Prediction Rationale,Views 24h,3-Sec Retention % 24h,Avg Watch Time (sec) 24h,Watch % of Length 24h,Saves 24h,Shares 24h,Comments 24h,Follows from Reel 24h,Views 48h,3-Sec Retention % 48h,Avg Watch Time (sec) 48h,Watch % of Length 48h,Saves 48h,Shares 48h,Comments 48h,Follows from Reel 48h,Decision Score 48h,Views 7d,3-Sec Retention % 7d,Avg Watch Time (sec) 7d,Watch % of Length 7d,Saves 7d,Shares 7d,Comments 7d,Follows from Reel 7d,Promoted to Feed (Y/N),Date Promoted,Winner of Round (Y/N),Prediction Correct (Round),Notes / Anomalies
R3V1,R3,Vietnam Coconut Boats,,,,"Friends-travel montage of two students riding and spinning in coconut boats in Vietnam, framed as a spontaneous weekday adventure.",6/22/2026,1:30 p.m.,Monday,Phase 1 — Hook,Hook Type,Contrarian,Contrarian / Pattern-break,A random Tuesday is a lot better when nobody has a job,Text overlay + matched opening audio,Vietnam,Humor / friends travel montage,15,N,N,2,High,,162,64.1,8.2,54.7,0,1,1,1,235,65.1,8.4,56.0,0,1,1,1,52.4,235,65.2,8.3,55.3,0,1,1,1,N,,N,Y,
R3V2,R3,Vietnam Coconut Boats,,,,"Friends-travel montage of two students riding and spinning in coconut boats in Vietnam, framed as a spontaneous weekday adventure.",6/22/2026,1:30 p.m.,Monday,Phase 1 — Hook,Hook Type,Cold Open,Cold Open / Visual-only,[No opening text; open on the coconut boat spinning through the water],Text overlay + matched opening audio,Vietnam,Humor / friends travel montage,15,N,N,5,High,,34,44.4,5.4,36.0,0,0,0,0,35,44.2,5.7,38.0,0,0,0,0,34.8,39,45.0,5.7,38.0,0,0,0,0,N,,N,Y,
R3V3,R3,Vietnam Coconut Boats,,,,"Friends-travel montage of two students riding and spinning in coconut boats in Vietnam, framed as a spontaneous weekday adventure.",6/22/2026,1:30 p.m.,Monday,Phase 1 — Hook,Hook Type,Credential,Credential,Two Harvard students spend a random Tuesday in Vietnam's coconut boats,Text overlay + matched opening audio,Vietnam,Humor / friends travel montage,15,N,N,4,High,,46,48.1,6.5,43.3,0,0,0,0,50,48.9,6.8,45.3,0,0,0,0,38.6,50,48.9,6.8,45.3,0,0,0,0,N,,N,Y,
R3V4,R3,Vietnam Coconut Boats,,,,"Friends-travel montage of two students riding and spinning in coconut boats in Vietnam, framed as a spontaneous weekday adventure.",6/22/2026,1:30 p.m.,Monday,Phase 1 — Hook,Hook Type,Numbered (rhetorical),Numbered / Specific,2 unemployed friends. 1 random Tuesday. Coconut boats in Vietnam.,Text overlay + matched opening audio,Vietnam,Humor / friends travel montage,15,N,N,3,High,,95,62.2,7.7,51.3,0,0,0,0,101,61.4,7.8,52.0,0,0,0,0,48.8,101,61.4,7.7,51.3,0,0,0,0,N,,N,Y,
R3V5,R3,Vietnam Coconut Boats,,,,"Friends-travel montage of two students riding and spinning in coconut boats in Vietnam, framed as a spontaneous weekday adventure.",6/22/2026,1:30 p.m.,Monday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV / Direct-address,poc: the instagram story of ur two unemployed friends on a random tuesday,Text overlay + matched opening audio,Vietnam,Humor / friends travel montage,15,Y,Y,1,High,The social-native framing makes the footage instantly legible as a relatable friends story and matches how viewers naturally describe an Instagram dump.,335,70.3,9.6,64.0,2,2,0,1,360,70.3,9.5,63.3,2,3,0,1,56.8,461,65.2,9.3,62.0,3,4,0,1,Y,6/24/2026,Y,Y,Promoted after 48h decision checkpoint.
R4V1,R4,England–Argentina London Vibe Switch,https://www.instagram.com/reel/DZNn47yt3A0/,the vibe switch at 0:56 is criminal,,"London football-watch reel built around a dramatic crowd-energy shift during England–Argentina, with the payoff deliberately arriving late.",7/1/2026,10:00 a.m.,Wednesday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV / Direct-address,Pov: You're in London for the World Cup Semi-final,Text overlay + matched opening audio,United Kingdom,Event / crowd story,64,Y,Y,1,High,"The hook immediately gives the crowd footage a time, place, and stakes while putting the viewer inside the event.",173,62.5,33.7,52.7,1,2,0,1,261,61.8,33.2,51.9,2,4,1,1,59.3,674,60.0,32.5,50.8,4,11,2,3,Y,7/3/2026,Y,Y,Promoted after 48h decision checkpoint.
R4V2,R4,England–Argentina London Vibe Switch,https://www.instagram.com/reel/DZNn47yt3A0/,the vibe switch at 0:56 is criminal,,"London football-watch reel built around a dramatic crowd-energy shift during England–Argentina, with the payoff deliberately arriving late.",7/1/2026,10:00 a.m.,Wednesday,Phase 1 — Hook,Hook Type,Contrarian,Contrarian / Pattern-break,London gets very quiet when the World Cup turns,Text overlay + matched opening audio,United Kingdom,Event / crowd story,64,N,N,4,High,,100,52.6,30.9,48.3,0,1,0,0,141,53.0,31.2,48.8,1,1,0,0,52.0,151,52.6,31.0,48.5,1,1,0,0,N,,N,Y,
R4V3,R4,England–Argentina London Vibe Switch,https://www.instagram.com/reel/DZNn47yt3A0/,the vibe switch at 0:56 is criminal,,"London football-watch reel built around a dramatic crowd-energy shift during England–Argentina, with the payoff deliberately arriving late.",7/1/2026,10:00 a.m.,Wednesday,Phase 1 — Hook,Hook Type,Cold Open,Cold Open / Visual-only,[No opening text; open on the loud London crowd before the vibe flips],Text overlay + matched opening audio,United Kingdom,Event / crowd story,64,N,N,5,High,,79,49.2,29.0,45.3,0,0,0,0,114,48.7,28.7,44.9,0,1,0,0,47.8,125,48.1,28.4,44.4,0,1,0,0,N,,N,Y,
R4V4,R4,England–Argentina London Vibe Switch,https://www.instagram.com/reel/DZNn47yt3A0/,the vibe switch at 0:56 is criminal,,"London football-watch reel built around a dramatic crowd-energy shift during England–Argentina, with the payoff deliberately arriving late.",7/1/2026,10:00 a.m.,Wednesday,Phase 1 — Hook,Hook Type,Credential,Credential,Harvard students watch a World Cup semifinal in London,Text overlay + matched opening audio,United Kingdom,Event / crowd story,64,N,N,2,High,,118,56.2,29.2,45.6,0,1,0,0,173,56.4,29.6,46.3,1,1,0,0,53.9,183,56.0,29.4,45.9,1,1,0,0,N,,N,Y,
R4V5,R4,England–Argentina London Vibe Switch,https://www.instagram.com/reel/DZNn47yt3A0/,the vibe switch at 0:56 is criminal,,"London football-watch reel built around a dramatic crowd-energy shift during England–Argentina, with the payoff deliberately arriving late.",7/1/2026,10:00 a.m.,Wednesday,Phase 1 — Hook,Hook Type,Numbered (rhetorical),Numbered / Specific,56 seconds before this London crowd completely changes,Text overlay + matched opening audio,United Kingdom,Event / crowd story,64,N,N,3,High,,108,54.4,31.9,49.9,0,1,0,0,151,54.1,31.7,49.6,1,1,0,0,53.0,164,53.6,31.6,49.3,1,1,0,0,N,,N,Y,
R5V1,R5,Bangkok Time-Lapse Boat Tour — published cut,https://www.instagram.com/reel/DaQMIeNx9gC/,Ben was not responsible for filming,2026-07-01,A separate published Bangkok boat-tour cut whose joke is that the tour is accidentally shown in time lapse.,7/1/2026,11:00 a.m.,Wednesday,Phase 1 — Hook,Hook Type,Credential,Credential,Harvard student accidentally gives a time lapse Bangkok boat tour,Text overlay + matched opening audio,Thailand,Humor / storytime,28,Y,Y,1,Medium,The Harvard credential makes the mistake feel specific and gives the time-lapse footage a clear premise.,155,64.9,14.6,52.3,1,2,0,0,235,64.2,14.4,51.5,1,3,1,1,61.0,530,62.4,14.1,50.4,3,7,1,2,Y,7/3/2026,Y,Y,Promoted after 48h decision checkpoint.
R5V2,R5,Bangkok Time-Lapse Boat Tour — published cut,https://www.instagram.com/reel/DaQMIeNx9gC/,Ben was not responsible for filming,2026-07-01,A separate published Bangkok boat-tour cut whose joke is that the tour is accidentally shown in time lapse.,7/1/2026,11:00 a.m.,Wednesday,Phase 1 — Hook,Hook Type,Numbered (rhetorical),Numbered / Specific,"One Bangkok boat tour, one camera mistake, zero normal-speed footage",Text overlay + matched opening audio,Thailand,Humor / storytime,28,N,N,3,Medium,,105,56.4,13.6,48.4,0,0,0,0,148,56.8,13.7,48.9,0,1,0,0,54.8,158,56.4,13.6,48.6,0,1,0,0,N,,N,Y,
R5V3,R5,Bangkok Time-Lapse Boat Tour — published cut,https://www.instagram.com/reel/DaQMIeNx9gC/,Ben was not responsible for filming,2026-07-01,A separate published Bangkok boat-tour cut whose joke is that the tour is accidentally shown in time lapse.,7/1/2026,11:00 a.m.,Wednesday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV / Direct-address,POV: your Bangkok boat tour gets filmed entirely in time lapse,Text overlay + matched opening audio,Thailand,Humor / storytime,28,N,N,2,Medium,,118,59.2,14.2,50.6,0,1,0,0,171,58.7,14.1,50.2,1,1,0,0,56.6,186,58.1,13.9,49.7,1,1,0,0,N,,N,Y,
R5V4,R5,Bangkok Time-Lapse Boat Tour — published cut,https://www.instagram.com/reel/DaQMIeNx9gC/,Ben was not responsible for filming,2026-07-01,A separate published Bangkok boat-tour cut whose joke is that the tour is accidentally shown in time lapse.,7/1/2026,11:00 a.m.,Wednesday,Phase 1 — Hook,Hook Type,Contrarian,Contrarian / Pattern-break,This is not the Bangkok boat tour we thought we filmed,Text overlay + matched opening audio,Thailand,Humor / storytime,28,N,N,4,Medium,,109,54.4,13.1,46.9,0,0,0,0,160,54.6,13.3,47.6,0,1,0,0,52.9,170,54.2,13.2,47.2,1,1,0,0,N,,N,Y,
R5V5,R5,Bangkok Time-Lapse Boat Tour — published cut,https://www.instagram.com/reel/DaQMIeNx9gC/,Ben was not responsible for filming,2026-07-01,A separate published Bangkok boat-tour cut whose joke is that the tour is accidentally shown in time lapse.,7/1/2026,11:00 a.m.,Wednesday,Phase 1 — Hook,Hook Type,Cold Open,Cold Open / Visual-only,[No first text card; start immediately on the sped-up boat-tour clip],Visual-first / no hook text,Thailand,Humor / storytime,28,N,N,5,Medium,,87,50.0,12.7,45.4,0,0,0,0,121,49.7,12.6,45.1,0,1,0,0,48.6,131,49.2,12.5,44.8,0,1,0,0,N,,N,Y,
R6V1,R6,Oregon Itinerary — Days 1–2,https://www.instagram.com/reel/DZu7BDqh5ze/,"Oregon: Days 1-2! oregon coast, multnomah falls",2026-06-18,"Mini-itinerary covering the Oregon coast and Multnomah Falls, positioned as days 1–2 of a larger road trip.",6/18/2026,11:00 a.m.,Thursday,Phase 1 — Hook,Hook Type,Numbered (rhetorical),Numbered / Specific,Oregon Itinerary (Day 1-2),Text overlay + matched opening audio,United States,Itinerary / vlog,39,Y,Y,1,High,"The itinerary itself is the viewer benefit, so the direct Day 1–2 framing should win.",239,68.8,20.1,51.6,2,2,1,1,362,68.1,19.8,50.8,3,3,1,1,63.8,980,66.3,19.4,49.7,8,9,2,3,Y,6/20/2026,Y,Y,Promoted after 48h decision checkpoint.
R6V2,R6,Oregon Itinerary — Days 1–2,https://www.instagram.com/reel/DZu7BDqh5ze/,"Oregon: Days 1-2! oregon coast, multnomah falls",2026-06-18,"Mini-itinerary covering the Oregon coast and Multnomah Falls, positioned as days 1–2 of a larger road trip.",6/18/2026,11:00 a.m.,Thursday,Phase 1 — Hook,Hook Type,Credential,Credential,Harvard students’ first 48 hours on the Oregon coast,Text overlay + matched opening audio,United States,Itinerary / vlog,39,N,N,3,High,,150,59.2,17.3,44.4,0,1,0,0,211,59.6,17.5,44.9,1,1,0,0,55.9,226,59.2,17.4,44.6,1,1,0,0,N,,N,Y,
R6V3,R6,Oregon Itinerary — Days 1–2,https://www.instagram.com/reel/DZu7BDqh5ze/,"Oregon: Days 1-2! oregon coast, multnomah falls",2026-06-18,"Mini-itinerary covering the Oregon coast and Multnomah Falls, positioned as days 1–2 of a larger road trip.",6/18/2026,11:00 a.m.,Thursday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV / Direct-address,POV: you have two days for the Oregon coast and Multnomah Falls,Text overlay + matched opening audio,United States,Itinerary / vlog,39,N,N,2,High,,169,63.3,19.1,49.1,0,1,0,0,245,62.8,19.0,48.7,1,1,0,0,59.3,267,62.2,18.8,48.2,1,1,0,0,N,,N,Y,
R6V4,R6,Oregon Itinerary — Days 1–2,https://www.instagram.com/reel/DZu7BDqh5ze/,"Oregon: Days 1-2! oregon coast, multnomah falls",2026-06-18,"Mini-itinerary covering the Oregon coast and Multnomah Falls, positioned as days 1–2 of a larger road trip.",6/18/2026,11:00 a.m.,Thursday,Phase 1 — Hook,Hook Type,Contrarian,Contrarian / Pattern-break,You do not need a week to start an Oregon road trip,Text overlay + matched opening audio,United States,Itinerary / vlog,39,N,N,4,High,,135,57.3,16.6,42.5,0,1,0,0,198,57.5,16.8,43.2,1,1,0,0,53.9,210,57.1,16.7,42.8,1,1,0,0,N,,N,Y,
R6V5,R6,Oregon Itinerary — Days 1–2,https://www.instagram.com/reel/DZu7BDqh5ze/,"Oregon: Days 1-2! oregon coast, multnomah falls",2026-06-18,"Mini-itinerary covering the Oregon coast and Multnomah Falls, positioned as days 1–2 of a larger road trip.",6/18/2026,11:00 a.m.,Thursday,Phase 1 — Hook,Hook Type,Cold Open,Cold Open / Visual-only,[No first text card; open on the coast-to-waterfall reveal],Visual-first / no hook text,United States,Itinerary / vlog,39,N,N,5,High,,119,52.9,15.9,40.8,0,1,0,0,165,52.6,15.8,40.5,0,1,0,0,49.6,178,52.1,15.7,40.2,1,1,0,0,N,,N,Y,
R7V1,R7,Bali Snorkeling Lightning Storm,https://www.instagram.com/reel/DZ0dIKxIRnx/,Snorkeling in bali gone wrong…,2026-06-20,Bali/Nusa Penida snorkeling story where a tropical excursion turns when a lightning storm rolls in.,6/20/2026,11:00 a.m.,Saturday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV / Direct-address,when a lightning storm rolls in while snorkeling in Bali,Text overlay + matched opening audio,Indonesia,Storytime / travel fail,27,Y,Y,1,Medium,The weather turn creates immediate stakes while staying faithful to the snorkeling footage.,203,67.4,13.3,49.3,1,2,0,1,307,66.7,13.1,48.5,2,4,1,1,62.2,740,64.9,12.8,47.4,4,10,2,3,Y,6/22/2026,Y,Y,Promoted after 48h decision checkpoint.
R7V2,R7,Bali Snorkeling Lightning Storm,https://www.instagram.com/reel/DZ0dIKxIRnx/,Snorkeling in bali gone wrong…,2026-06-20,Bali/Nusa Penida snorkeling story where a tropical excursion turns when a lightning storm rolls in.,6/20/2026,11:00 a.m.,Saturday,Phase 1 — Hook,Hook Type,Credential,Credential,Harvard students get caught snorkeling in a Bali lightning storm,Text overlay + matched opening audio,Indonesia,Storytime / travel fail,27,N,N,4,Medium,,131,57.8,11.7,43.4,0,1,0,0,185,58.2,11.9,43.9,1,1,0,0,54.6,198,57.8,11.8,43.6,1,1,0,0,N,,N,Y,
R7V3,R7,Bali Snorkeling Lightning Storm,https://www.instagram.com/reel/DZ0dIKxIRnx/,Snorkeling in bali gone wrong…,2026-06-20,Bali/Nusa Penida snorkeling story where a tropical excursion turns when a lightning storm rolls in.,6/20/2026,11:00 a.m.,Saturday,Phase 1 — Hook,Hook Type,Numbered (rhetorical),Numbered / Specific,3 minutes from snorkeling in Bali to getting out of the water,Text overlay + matched opening audio,Indonesia,Storytime / travel fail,27,N,N,3,Medium,,137,60.6,12.4,46.1,0,1,0,0,198,60.1,12.3,45.7,1,1,0,0,56.5,216,59.5,12.2,45.2,1,1,0,0,N,,N,Y,
R7V4,R7,Bali Snorkeling Lightning Storm,https://www.instagram.com/reel/DZ0dIKxIRnx/,Snorkeling in bali gone wrong…,2026-06-20,Bali/Nusa Penida snorkeling story where a tropical excursion turns when a lightning storm rolls in.,6/20/2026,11:00 a.m.,Saturday,Phase 1 — Hook,Hook Type,Contrarian,Contrarian / Pattern-break,Bali snorkeling is perfect until the sky does this,Text overlay + matched opening audio,Indonesia,Storytime / travel fail,27,N,N,2,Medium,,152,62.2,12.7,46.9,0,1,0,0,224,62.4,12.9,47.6,1,1,0,0,58.7,237,62.0,12.7,47.2,1,1,0,0,N,,N,Y,
R7V5,R7,Bali Snorkeling Lightning Storm,https://www.instagram.com/reel/DZ0dIKxIRnx/,Snorkeling in bali gone wrong…,2026-06-20,Bali/Nusa Penida snorkeling story where a tropical excursion turns when a lightning storm rolls in.,6/20/2026,11:00 a.m.,Saturday,Phase 1 — Hook,Hook Type,Cold Open,Cold Open / Visual-only,[No first text card; open on the weather turning over the water],Visual-first / no hook text,Indonesia,Storytime / travel fail,27,N,N,5,Medium,,111,52.1,10.8,40.1,0,0,0,0,154,51.8,10.7,39.8,0,1,0,0,48.8,166,51.3,10.7,39.5,0,1,0,0,N,,N,Y,
R8V1,R8,Dancing with Locals in Bangkok Park,https://www.instagram.com/reel/DWbdT3Cifhr/,We might need some additional dance classes,2026-07-27,Humorous Bangkok cultural-participation reel showing the team attempting a local dance in a park.,7/27/2026,11:00 a.m.,Monday,Phase 1 — Hook,Hook Type,Contrarian,Contrarian / Pattern-break,Dancing with the locals in Bangkok Park 🕺💃,Text overlay + matched opening audio,Thailand,Humor / cultural participation,19,Y,Y,1,Medium,The plain-language setup lets the contrast with the locals carry the joke.,232,69.8,11.3,59.5,1,3,0,1,351,69.1,11.2,58.7,2,5,1,1,66.5,910,67.3,10.9,57.6,5,13,2,3,Y,7/29/2026,Y,Y,Promoted after 48h decision checkpoint.
R8V2,R8,Dancing with Locals in Bangkok Park,https://www.instagram.com/reel/DWbdT3Cifhr/,We might need some additional dance classes,2026-07-27,Humorous Bangkok cultural-participation reel showing the team attempting a local dance in a park.,7/27/2026,11:00 a.m.,Monday,Phase 1 — Hook,Hook Type,Credential,Credential,Harvard students try to keep up with dancers in a Bangkok park,Text overlay + matched opening audio,Thailand,Humor / cultural participation,19,N,N,4,Medium,,155,55.6,9.7,51.0,0,1,0,0,219,56.0,9.8,51.5,1,1,0,0,54.9,234,55.6,9.7,51.2,1,1,0,0,N,,N,Y,
R8V3,R8,Dancing with Locals in Bangkok Park,https://www.instagram.com/reel/DWbdT3Cifhr/,We might need some additional dance classes,2026-07-27,Humorous Bangkok cultural-participation reel showing the team attempting a local dance in a park.,7/27/2026,11:00 a.m.,Monday,Phase 1 — Hook,Hook Type,Numbered (rhetorical),Numbered / Specific,30 seconds of us being completely out-danced in Bangkok,Text overlay + matched opening audio,Thailand,Humor / cultural participation,19,N,N,3,Medium,,160,58.9,10.4,54.6,0,1,0,0,232,58.4,10.3,54.2,1,1,0,0,57.3,253,57.8,10.2,53.7,1,1,0,0,N,,N,Y,
R8V4,R8,Dancing with Locals in Bangkok Park,https://www.instagram.com/reel/DWbdT3Cifhr/,We might need some additional dance classes,2026-07-27,Humorous Bangkok cultural-participation reel showing the team attempting a local dance in a park.,7/27/2026,11:00 a.m.,Monday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV / Direct-address,POV: locals invite you to dance in a Bangkok park and you say yes,Text overlay + matched opening audio,Thailand,Humor / cultural participation,19,N,N,2,Medium,,184,62.5,10.7,56.4,0,1,0,0,271,62.7,10.8,57.1,1,1,0,0,61.3,287,62.3,10.8,56.7,1,1,0,0,N,,N,Y,
R8V5,R8,Dancing with Locals in Bangkok Park,https://www.instagram.com/reel/DWbdT3Cifhr/,We might need some additional dance classes,2026-07-27,Humorous Bangkok cultural-participation reel showing the team attempting a local dance in a park.,7/27/2026,11:00 a.m.,Monday,Phase 1 — Hook,Hook Type,Cold Open,Cold Open / Visual-only,[No first text card; begin on the most obviously off-beat move beside a local],Visual-first / no hook text,Thailand,Humor / cultural participation,19,N,N,5,Medium,,137,54.4,9.5,50.1,0,1,0,0,190,54.1,9.5,49.8,1,1,0,0,53.0,205,53.6,9.4,49.5,1,1,0,0,N,,N,Y,
R9V1,R9,Harvard Football Guy Learns Muay Thai,,,,Bangkok Muay Thai training reel centered on a Harvard football player trying a very different combat-sport skill set.,,,,Phase 1 — Hook,Hook Type,Credential,Credential,Harvard football guy learns muay thai,Text overlay + matched opening audio,Thailand,Sports / cultural challenge,24,Y,Y,1,High,Football + Muay Thai creates an instantly clear identity clash and reason to keep watching.,344,72.7,13.4,55.7,1,4,1,1,521,72.0,13.2,54.9,3,7,1,2,67.7,1400,70.2,12.9,53.8,7,20,4,5,Y,,Y,Y,Promoted after 48h decision checkpoint.
R9V2,R9,Harvard Football Guy Learns Muay Thai,,,,Bangkok Muay Thai training reel centered on a Harvard football player trying a very different combat-sport skill set.,,,,Phase 1 — Hook,Hook Type,Numbered (rhetorical),Numbered / Specific,3 things a football player learns in his first Muay Thai session,Text overlay + matched opening audio,Thailand,Sports / cultural challenge,24,N,N,2,High,,201,61.0,11.8,49.3,1,1,0,0,283,61.4,12.0,49.8,1,1,0,0,58.5,303,61.0,11.9,49.5,1,2,0,0,N,,N,Y,
R9V3,R9,Harvard Football Guy Learns Muay Thai,,,,Bangkok Muay Thai training reel centered on a Harvard football player trying a very different combat-sport skill set.,,,,Phase 1 — Hook,Hook Type,POV / Direct-address,POV / Direct-address,POV: you play college football and try Muay Thai in Bangkok,Text overlay + matched opening audio,Thailand,Sports / cultural challenge,24,N,N,3,High,,185,61.1,11.7,48.9,0,1,0,0,268,60.6,11.6,48.5,1,1,0,0,57.6,292,60.0,11.5,48.0,1,1,0,0,N,,N,Y,
